Humidity,Voltage
51.00,0.87
51.00,0.92
51.00,0.94
51.00,0.94
51.00,0.92
51.00,0.90
51.00,0.96
51.00,1.14
51.00,0.95
52.00,0.87
52.00,0.87,event
52.00,0.89
52.00,0.87
54.00,0.90
62.00,0.95
62.00,0.94
63.00,0.92
61.00,0.93
71.00,1.02
80.00,1.06
95.00,1.06
95.00,1.11
95.00,0.93
95.00,0.97
95.00,0.97
95.00,0.98
95.00,0.99
95.00,0.97
95.00,0.94
95.00,0.83
92.00,0.78
87.00,0.75
81.00,0.77
81.00,0.76
78.00,0.80
74.00,0.88
71.00,0.95
68.00,0.90
66.00,0.77
64.00,0.74
62.00,0.83
62.00,0.81
61.00,0.91
59.00,0.93
58.00,0.83
57.00,0.75
57.00,0.82
56.00,0.93
55.00,0.86
55.00,0.75
55.00,0.78
54.00,0.75
54.00,0.85
54.00,0.93
54.00,0.93
54.00,0.83
54.00,0.78
53.00,0.75
53.00,0.74
53.00,0.76
53.00,0.75
53.00,0.75
52.00,0.76
52.00,0.77
52.00,0.84
52.00,0.85
52.00,0.86
52.00,0.88
52.00,0.82
52.00,0.82
52.00,0.83
52.00,0.83
52.00,0.83
52.00,0.88
52.00,0.87
52.00,0.85
52.00,0.77
51.00,0.75
51.00,0.75
51.00,0.74
51.00,0.74
51.00,0.74
51.00,0.73
51.00,0.73
51.00,0.73
51.00,0.82
51.00,0.83
51.00,0.84
